bidder_address,total_projects,completed_projects,abandoned_projects,completion_rate,average_delay_days,budget_overruns_percent,quality_score,reputation_score,payment_disputes,days_since_last_project,bid_type,bid_amount,project_budget,total_contract_value
0xBIDDER35,24,21,3,0.88,25,39,8.12,7.78,2,123,MinRate,20123.45,55432.10,612345.67
0xBIDDER36,16,13,3,0.81,34,56,7.23,6.89,3,289,FixRate,10345.67,43210.98,334567.89
0xBIDDER37,38,35,3,0.92,14,26,8.89,8.56,1,56,MinRate,35678.90,78123.45,1156789.01
0xBIDDER38,12,9,3,0.75,41,69,6.45,6.12,4,367,FixRate,7123.45,35467.89,256789.12
0xBIDDER39,30,27,3,0.90,18,32,8.45,8.12,2,89,MinRate,27234.56,61345.67,723456.78
0xBIDDER40,14,10,4,0.71,46,76,6.01,5.67,5,398,FixRate,8234.56,37654.32,267890.12
0xBIDDER41,43,39,4,0.91,12,21,9.12,8.78,1,34,MinRate,39876.54,85321.09,1456789.01
0xBIDDER42,9,6,3,0.67,49,87,5.78,5.34,5,445,FixRate,5467.89,29876.54,189012.34
0xBIDDER43,26,23,3,0.88,24,38,8.23,7.89,2,134,MinRate,23567.89,58901.23,656789.01
0xBIDDER44,17,13,4,0.76,37,61,6.89,6.45,4,278,FixRate,9345.67,42156.78,298765.43
0xBIDDER45,34,31,3,0.91,17,29,8.67,8.34,2,78,MinRate,31234.56,69876.54,934567.89
0xBIDDER46,13,9,4,0.69,43,73,5.98,5.56,5,389,FixRate,7456.78,34567.89,223456.78
0xBIDDER47,22,19,3,0.86,26,42,8.01,7.67,2,167,MinRate,19456.78,52341.09,534567.89
0xBIDDER48,19,15,4,0.79,32,54,7.12,6.78,3,234,FixRate,10789.01,46123.45,334567.89
0xBIDDER49,40,36,4,0.90,15,27,8.98,8.65,1,45,MinRate,37123.45,79654.32,1234567.89
0xBIDDER50,11,8,3,0.73,40,68,6.23,5.89,4,356,FixRate,6789.12,32456.78,212345.67
